iteration,label,operation,gas_used,duration_ms,policy_id,outcome
176,createTestPolicy_176,createTestPolicy,227513,0.786,176,
176,finalize_176,finalize,92730,0.596,176,payout
177,createTestPolicy_177,createTestPolicy,227513,0.681,177,
177,expirePolicy_177,expirePolicy,55069,0.495,177,expired
178,createTestPolicy_178,createTestPolicy,227513,0.670,178,
178,finalize_178,finalize,69676,0.519,178,no_payout
179,createTestPolicy_179,createTestPolicy,227513,0.678,179,
179,expirePolicy_179,expirePolicy,55069,0.466,179,expired
180,createTestPolicy_180,createTestPolicy,227513,0.681,180,
180,finalize_180,finalize,92730,0.606,180,payout
181,createTestPolicy_181,createTestPolicy,227513,0.661,181,
181,expirePolicy_181,expirePolicy,55069,0.438,181,expired
182,createTestPolicy_182,createTestPolicy,227513,0.661,182,
182,finalize_182,finalize,69676,0.524,182,no_payout
183,createTestPolicy_183,createTestPolicy,227513,0.656,183,
183,expirePolicy_183,expirePolicy,55069,0.454,183,expired
184,createTestPolicy_184,createTestPolicy,227513,0.684,184,
184,finalize_184,finalize,92730,0.586,184,payout
185,createTestPolicy_185,createTestPolicy,227513,0.655,185,
185,expirePolicy_185,expirePolicy,55069,0.458,185,expired
186,createTestPolicy_186,createTestPolicy,227513,0.678,186,
186,finalize_186,finalize,69676,0.515,186,no_payout
187,createTestPolicy_187,createTestPolicy,227513,0.657,187,
187,expirePolicy_187,expirePolicy,55069,0.474,187,expired
188,createTestPolicy_188,createTestPolicy,227513,0.684,188,
188,finalize_188,finalize,92730,0.618,188,payout
189,createTestPolicy_189,createTestPolicy,227513,0.692,189,
189,expirePolicy_189,expirePolicy,55069,0.479,189,expired
190,createTestPolicy_190,createTestPolicy,227513,0.693,190,
190,finalize_190,finalize,69676,0.499,190,no_payout
191,createTestPolicy_191,createTestPolicy,227513,0.666,191,
191,expirePolicy_191,expirePolicy,55069,0.480,191,expired
192,createTestPolicy_192,createTestPolicy,227513,0.679,192,
192,finalize_192,finalize,92730,0.602,192,payout
193,createTestPolicy_193,createTestPolicy,227513,0.657,193,
193,expirePolicy_193,expirePolicy,55069,0.453,193,expired
194,createTestPolicy_194,createTestPolicy,227513,0.647,194,
194,finalize_194,finalize,69676,0.504,194,no_payout
195,createTestPolicy_195,createTestPolicy,227513,0.640,195,
195,expirePolicy_195,expirePolicy,55069,0.464,195,expired
196,createTestPolicy_196,createTestPolicy,227513,0.653,196,
196,finalize_196,finalize,92730,0.584,196,payout
197,createTestPolicy_197,createTestPolicy,227513,0.662,197,
197,expirePolicy_197,expirePolicy,55069,0.463,197,expired
198,createTestPolicy_198,createTestPolicy,227513,0.664,198,
198,finalize_198,finalize,69676,0.505,198,no_payout
199,createTestPolicy_199,createTestPolicy,227513,0.634,199,
199,expirePolicy_199,expirePolicy,55069,0.480,199,expired
200,createTestPolicy_200,createTestPolicy,227513,0.724,200,
200,finalize_200,finalize,92730,0.596,200,payout
201,createTestPolicy_201,createTestPolicy,227513,0.645,201,
201,expirePolicy_201,expirePolicy,55069,0.468,201,expired
202,createTestPolicy_202,createTestPolicy,227513,0.716,202,
202,finalize_202,finalize,69676,0.515,202,no_payout
203,createTestPolicy_203,createTestPolicy,227513,0.675,203,
203,expirePolicy_203,expirePolicy,55069,0.443,203,expired
204,createTestPolicy_204,createTestPolicy,227513,0.674,204,
204,finalize_204,finalize,92730,0.601,204,payout
205,createTestPolicy_205,createTestPolicy,227513,0.733,205,
205,expirePolicy_205,expirePolicy,55069,0.462,205,expired
206,createTestPolicy_206,createTestPolicy,227513,0.686,206,
206,finalize_206,finalize,69676,0.590,206,no_payout
207,createTestPolicy_207,createTestPolicy,227513,0.689,207,
207,expirePolicy_207,expirePolicy,55069,0.468,207,expired
